iter	Passed	Remaining
546	7751	6419
547	7766	6405
548	7778	6389
549	7790	6373
550	7802	6357
551	7814	6342
552	7826	6326
553	7837	6309
554	7851	6295
555	7864	6279
556	7879	6266
557	7891	6251
558	7904	6236
559	7916	6220
560	7928	6204
561	7940	6188
562	7952	6172
563	7964	6156
564	7977	6141
565	7989	6126
566	8000	6109
567	8012	6094
568	8024	6078
569	8035	6062
570	8047	6046
571	8060	6030
572	8071	6014
573	8084	6000
574	8098	5985
575	8112	5971
576	8125	5956
577	8137	5940
578	8149	5925
579	8162	5911
580	8175	5895
581	8187	5880
582	8202	5867
583	8215	5852
584	8235	5842
585	8249	5828
586	8262	5813
587	8274	5797
588	8287	5783
589	8300	5767
590	8312	5752
591	8325	5738
592	8342	5725
593	8359	5713
594	8375	5701
595	8390	5687
596	8403	5672
597	8415	5657
598	8428	5642
599	8441	5627
600	8453	5612
601	8466	5597
602	8478	5582
603	8491	5567
604	8504	5552
605	8517	5537
606	8531	5523
607	8543	5508
608	8556	5493
609	8568	5478
610	8582	5463
611	8596	5450
612	8610	5436
613	8623	5421
614	8635	5406
615	8648	5391
616	8660	5376
617	8676	5363
618	8694	5351
619	8709	5338
620	8721	5322
621	8735	5308
622	8749	5294
623	8761	5279
624	8774	5264
625	8786	5249
626	8798	5234
627	8812	5220
628	8825	5205
629	8837	5189
630	8849	5175
631	8862	5160
632	8874	5145
633	8886	5130
634	8898	5114
635	8911	5100
636	8931	5089
637	8944	5074
638	8956	5059
639	8968	5044
640	8980	5029
641	8993	5015
642	9006	5000
643	9018	4985
644	9030	4970
645	9044	4956
646	9062	4944
647	9076	4930
648	9089	4916
649	9101	4900
650	9116	4887
651	9134	4875
652	9151	4863
653	9168	4850
654	9191	4841
655	9211	4830
656	9233	4820
657	9252	4809
658	9271	4797
659	9286	4784
660	9304	4771
661	9317	4757
662	9332	4743
663	9344	4728
664	9357	4714
665	9373	4700
666	9389	4687
667	9404	4673
668	9417	4659
669	9429	4644
670	9441	4629
671	9454	4614
672	9468	4600
673	9481	4586
674	9494	4571
675	9506	4556
676	9518	4541
677	9531	4526
678	9545	4512
679	9558	4497
680	9570	4482
681	9583	4468
682	9595	4453
683	9608	4439
684	9623	4425
685	9635	4410
686	9647	4395
687	9660	4380
688	9672	4365
689	9684	4351
690	9696	4336
691	9709	4321
692	9722	4306
693	9734	4292
694	9751	4279
695	9764	4265
696	9778	4250
697	9791	4236
698	9805	4222
699	9817	4207
700	9829	4192
701	9841	4177
702	9854	4163
703	9867	4148
704	9879	4134
705	9892	4119
706	9905	4105
707	9917	4090
708	9932	4076
709	9944	4062
710	9958	4047
711	9972	4033
712	9988	4020
713	10001	4006
714	10016	3992
715	10028	3977
716	10041	3963
717	10053	3948
718	10066	3934
719	10079	3919
720	10090	3904
721	10103	3890
722	10116	3875
723	10129	3861
724	10141	3846
725	10157	3833
726	10171	3819
727	10192	3808
728	10207	3794
729	10219	3779
730	10233	3765
731	10246	3751
732	10259	3736
733	10272	3722
734	10287	3709
735	10303	3695
736	10318	3682
737	10331	3667
738	10344	3653
739	10358	3639
740	10371	3625
741	10383	3610
742	10396	3595
743	10408	3581
744	10421	3567
745	10433	3552
746	10445	3537
747	10458	3523
748	10471	3509
749	10484	3494
750	10496	3480
751	10510	3466
752	10523	3451
753	10536	3437
754	10548	3422
755	10558	3407
756	10571	3393
757	10584	3379
758	10596	3364
759	10609	3350
760	10622	3336
761	10635	3321
762	10647	3307
763	10659	3292
764	10673	3278
765	10686	3264
766	10704	3251
767	10717	3237
768	10731	3223
